Villette-sur-Ain,01320,45.9884,5.26862
Chalamont,01320,46,5.166667
Châtenay,01320,46.033333,5.2
Châtillon-la-Palud,01320,45.966667,5.25
Crans,01320,45.966667,5.216667
Saint-Nizier-le-Désert,01320,46.05,5.15
Ambérieux-en-Dombes,01330,46,4.9
Birieux,01330,45.95,5.033333
Bouligneux,01330,46.016667,5
Lapeyrouse,01330,45.983333,4.966667
Le Plantay,01330,46.016667,5.083333
Sainte-Olive,01330,46.016667,4.933333
Versailleux,01330,45.983333,5.1
Villars-les-Dombes,01330,46,5.016667
Attignat,01340,46.283333,5.166667
Béreyziat,01340,46.366667,5.05
Cras-sur-Reyssouze,01340,46.3,5.166667
Etrez,01340,46.333333,5.183333
Foissiat,01340,46.366667,5.183333
Jayat,01340,46.366667,5.116667
Malafretaz,01340,46.316667,5.15
Marsonnas,01340,46.333333,5.066667
Montrevel-en-Bresse,01340,46.333333,5.133333
Saint-Didier-d'Aussiat,01340,46.3,5.066667
Saint-Sulpice,01340,46.3333,5.18333
Anglefort,01350,45.916667,5.808333
Béon,01350,45.833333,5.75
Ceyzérieu,01350,45.833333,5.733333
Cressin-Rochefort,01350,45.766667,5.766667
Culoz,01350,45.85,5.783333
Flaxieu,01350,45.816667,5.733333
Lavours,01350,45.8,5.766667
Pollieu,01350,45.8,5.75
Vongnes,01350,45.816667,5.716667
Balan,01360,45.833333,5.1
Béligneux,01360,45.866667,5.116667
Bressolles,01360,45.866667,5.1
Loyettes,01360,45.766667,5.2
Bény,01370,46.333333,5.283333
Courmangoux,01370,46.333333,5.366667
Meillonnas,01370,46.25,5.35
Pressiat,01370,46.333333,5.383333
Saint-Etienne-du-Bois,01370,46.283333,5.283333
Treffort-Cuisiat,01370,46.3333,5.38333
Bâgé-la-Ville,01380,46.316667,4.95
Bâgé-le-Châtel,01380,46.3,4.933333
Dommartin,01380,46.341667,4.991667
Saint-André-de-Bâgé,01380,46.3,4.916667
Saint-Cyr-sur-Menthon,01380,46.266667,4.983333
Saint-Genis-sur-Menthon,01380,46.283333,5.016667
Saint-Marcel,01390,45.8667,4.96667
Civrieux,01390,45.916667,4.883333
Mionnay,01390,45.9,4.933333
Monthieux,01390,45.95,4.933333
Rancé,01390,45.966667,4.866667
Saint-André-de-Corcy,01390,45.916667,4.95
Saint-Jean-de-Thurigneux,01390,45.95,4.883333
Tramoyes,01390,45.866667,4.966667
Chanoz-Châtenay,01400,46.183333,5.033333
Châtillon-sur-Chalaronne,01400,46.116667,4.966667
Condeissiat,01400,46.166667,5.083333
Dompierre-sur-Chalaronne,01400,46.133333,4.9
L'Abergement-Clémenciat,01400,46.15,4.916667
Neuville-les-Dames,01400,46.166667,5
Romans,01400,46.116667,5.033333
Saint-Georges-sur-Renon,01400,46.1,5.033333
Sandrans,01400,46.066667,4.983333
Sulignat,01400,46.166667,4.966667
Champfromier,01410,46.2,5.816667
Lélex,01410,46.3,5.95
Lhôpital,01420,46.0167,5.8
Chanay,01420,46,5.783333
Corbonod,01420,45.95,5.816667
Seyssel,01420,"45,96","5,83"
Surjoux,01420,46.016667,5.8
Ceignes,01430,46.116667,5.5
Maillat,01430,46.133333,5.55
Saint-Martin-du-Frêne,01430,46.133333,5.55
Peyriat,01430,46.15,5.516667
Chevillard,01430,46.116667,5.583333
Condamine,01430,46.116667,5.566667
Izenave,01430,46.033333,5.533333
Lantenay,01430,46.05,5.533333
Outriaz,01430,46.066667,5.55
Vieu-d'Izenave,01430,46.083333,5.533333
Viriat,01440,46.25,5.216667
Bolozon,01450,46.2,5.483333
Cerdon,01450,46.083333,5.466667
Challes-la-Montagne,01450,46.133333,5.466667
Labalme,01450,46.1,5.483333
Leyssard,01450,46.166667,5.466667
Mérignat,01450,46.066667,5.433333
Poncin,01450,46.083333,5.4
Saint-Alban,01450,46.1,5.45
Serrières-sur-Ain,01450,46.15,5.45
Brion,01460,46.1728,5.55251
Montréal-la-Cluse,01460,46.1728,5.55251
Nurieux-Volognat,01460,46.1728,5.55251
Géovreissiat,01460,46.2,5.566667
Port,01460,46.166667,5.566667
Serrières-de-Briord,01470,45.8081,5.45445
Bénonces,01470,45.833333,5.483333
Briord,01470,45.783333,5.466667
Montagnieu,01470,45.8,5.466667
Seillonnaz,01470,45.8,5.483333
Beauregard,01480,46.0484,4.76473
Messimy-sur-Saône,01480,46.0484,4.76473
Villeneuve,01480,46.0484,4.76473
Ars-sur-Formans,01480,45.983333,4.816667
Chaleins,01480,46.033333,4.8
Fareins,01480,46.016667,4.766667
Frans,01480,45.983333,4.783333
Jassans-Riottier,01480,45.983333,4.75
Savigneux,01480,46,4.85
Ambérieu-en-Bugey,01500,45.95,5.35
Ambronay,01500,46,5.35
Ambutrix,01500,45.933333,5.333333
Bettant,01500,45.933333,5.366667
Château-Gaillard,01500,45.966667,5.3
Douvres,01500,45.983333,5.366667
Saint-Denis-en-Bugey,01500,45.95,5.333333
Saint-Maurice-de-Rémens,01500,45.95,5.283333
Armix,01510,45.85,5.583333
Artemare,01510,45.866667,5.7
